GeoName,LineCode,Description,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Buckingham, VA",1,Personal income (thousands of dollars),397031,398506,409979,425589,435110,442067,456445,481177,483784,501441,521940
"Buckingham, VA",2,Population (persons) 1/,16819,17148,17091,17209,17067,17156,16935,17016,17042,17027,16999
"Buckingham, VA",3,Per capita personal income (dollars) 2/,23606,23239,23988,24731,25494,25767,26953,28278,28388,29450,30704
"Caroline, VA",1,Personal income (thousands of dollars),939350,945519,965208,998931,1032242,1062314,1105997,1243852,1182643,1235712,1285673
"Caroline, VA",2,Population (persons) 1/,28011,28263,28641,28676,28954,29256,29749,29891,30073,30433,30772
"Caroline, VA",3,Per capita personal income (dollars) 2/,33535,33454,33700,34835,35651,36311,37178,41613,39326,40604,41781
"Charles City, VA",1,Personal income (thousands of dollars),238453,236023,240183,253784,263226,270339,276957,290074,295831,304502,318063
"Charles City, VA",2,Population (persons) 1/,7232,7216,7259,7204,7126,7071,6975,7040,7019,7000,6941
"Charles City, VA",3,Per capita personal income (dollars) 2/,32972,32708,33088,35228,36939,38232,39707,41204,42147,43500,45824
"Charlotte, VA",1,Personal income (thousands of dollars),339227,337828,342328,352303,360912,370998,375250,404413,410350,416942,429409
"Charlotte, VA",2,Population (persons) 1/,12654,12588,12562,12492,12395,12277,12176,12172,12108,12082,11938
"Charlotte, VA",3,Per capita personal income (dollars) 2/,26808,26837,27251,28202,29118,30219,30819,33225,33891,34509,35970
"Chesterfield, VA",1,Personal income (thousands of dollars),13516037,13148412,13421887,14027771,14827389,15032919,15609613,16600141,17038449,17852706,18715686
"Chesterfield, VA",2,Population (persons) 1/,309837,313096,317195,320279,323878,327639,332148,334955,338414,343163,348556
"Chesterfield, VA",3,Per capita personal income (dollars) 2/,43623,41995,42314,43799,45781,45883,46996,49559,50348,52024,53695
"Clarke, VA",1,Personal income (thousands of dollars),685904,696154,705423,740449,765137,767639,796241,844961,892468,917758,974655
"Clarke, VA",2,Population (persons) 1/,14092,14015,14011,14187,14243,14250,14314,14242,14296,14449,14523
"Clarke, VA",3,Per capita personal income (dollars) 2/,48673,49672,50348,52192,53720,53869,55627,59329,62428,63517,67111
"Craig, VA",1,Personal income (thousands of dollars),151144,147685,154228,159454,169051,171645,175142,185938,179018,185935,193369
"Craig, VA",2,Population (persons) 1/,5167,5120,5198,5169,5138,5138,5176,5138,5122,5065,5064
"Craig, VA",3,Per capita personal income (dollars) 2/,29252,28845,29671,30848,32902,33407,33837,36189,34951,36710,38185
"Culpeper, VA",1,Personal income (thousands of dollars),1669697,1668328,1720105,1834525,1919495,1923302,1991530,2098696,2192306,2278571,2411983
"Culpeper, VA",2,Population (persons) 1/,46056,46236,46839,47343,47845,48611,49248,49553,50324,51267,51859
"Culpeper, VA",3,Per capita personal income (dollars) 2/,36254,36083,36724,38750,40119,39565,40439,42353,43564,44445,46510
"Cumberland, VA",1,Personal income (thousands of dollars),271187,273072,280492,289941,304265,314631,332010,345405,349944,367568,379587
"Cumberland, VA",2,Population (persons) 1/,9849,10013,10028,9982,9839,9846,9838,9746,9723,9813,9809
"Cumberland, VA",3,Per capita personal income (dollars) 2/,27534,27272,27971,29046,30924,31955,33748,35441,35991,37457,38698
"Dickenson, VA",1,Personal income (thousands of dollars),415540,427684,452602,455995,446779,443025,444869,456100,444451,456740,469883
"Dickenson, VA",2,Population (persons) 1/,16078,15925,15847,15776,15706,15525,15344,15202,15008,14721,14523
"Dickenson, VA",3,Per capita personal income (dollars) 2/,25845,26856,28561,28904,28446,28536,28993,30003,29614,31026,32354
"Essex, VA",1,Personal income (thousands of dollars),372314,369270,369711,386891,396409,406100,414536,428736,432432,448379,462250
"Essex, VA",2,Population (persons) 1/,10920,11104,11146,11167,11132,11157,11067,11097,11086,11011,10919
"Essex, VA",3,Per capita personal income (dollars) 2/,34095,33256,33170,34646,35610,36399,37457,38635,39007,40721,42334
"Fauquier, VA",1,Personal income (thousands of dollars),3581374,3451681,3624697,3842519,4108761,4002039,4126524,4383484,4478992,4694878,5002860
"Fauquier, VA",2,Population (persons) 1/,64558,64907,65447,66035,66565,67146,68132,68431,68810,69528,70675
"Fauquier, VA",3,Per capita personal income (dollars) 2/,55475,53179,55384,58189,61726,59602,60567,64057,65092,67525,70787
"Floyd, VA",1,Personal income (thousands of dollars),437999,443081,457663,479835,504274,503168,526463,553150,563686,579998,614471
"Floyd, VA",2,Population (persons) 1/,15101,15150,15366,15399,15432,15483,15527,15548,15675,15785,15795
"Floyd, VA",3,Per capita personal income (dollars) 2/,29005,29246,29784,31160,32677,32498,33906,35577,35961,36744,38903
"Fluvanna, VA",1,Personal income (thousands of dollars),881220,872687,888188,929142,954796,964136,995693,1060235,1081127,1131402,1197011
"Fluvanna, VA",2,Population (persons) 1/,25461,25576,25792,25958,25885,25825,25970,26111,26129,26417,26783
"Fluvanna, VA",3,Per capita personal income (dollars) 2/,34611,34121,34437,35794,36886,37333,38340,40605,41377,42829,44693
"Franklin, VA",1,Personal income (thousands of dollars),1746781,1732360,1765825,1882341,1937917,1924977,2008750,2120498,2142691,2196944,2291672
"Franklin, VA",2,Population (persons) 1/,55284,55732,56186,56341,56294,56275,56268,56227,56148,56326,56195
"Franklin, VA",3,Per capita personal income (dollars) 2/,31597,31084,31428,33410,34425,34207,35700,37713,38161,39004,40781
"Giles, VA",1,Personal income (thousands of dollars),521058,522215,542149,559444,578765,582602,603924,619426,626048,640555,675725
"Giles, VA",2,Population (persons) 1/,17168,17264,17316,17149,17021,16987,16849,16767,16838,16771,16844
"Giles, VA",3,Per capita personal income (dollars) 2/,30351,30249,31309,32623,34003,34297,35843,36943,37181,38194,40117
"Gloucester, VA",1,Personal income (thousands of dollars),1473053,1474485,1467059,1522586,1576492,1557231,1608484,1686317,1728245,1796240,1886194
"Gloucester, VA",2,Population (persons) 1/,36638,36778,36940,36885,36835,36768,37024,37007,37114,37309,37349
"Gloucester, VA",3,Per capita personal income (dollars) 2/,40206,40091,39715,41279,42799,42353,43444,45568,46566,48145,50502
"Goochland, VA",1,Personal income (thousands of dollars),1481539,1418818,1490378,1642313,1756203,1704957,1813279,1983429,2024568,2191590,2337061
"Goochland, VA",2,Population (persons) 1/,21285,21604,21746,21374,21278,21570,21854,22159,22462,22691,23244
"Goochland, VA",3,Per capita personal income (dollars) 2/,69605,65674,68536,76837,82536,79043,82972,89509,90133,96584,100545
"Grayson, VA",1,Personal income (thousands of dollars),414612,410205,421521,430981,432103,436413,459194,477105,487388,494112,516020
"Grayson, VA",2,Population (persons) 1/,15938,15696,15498,15366,15144,15131,15922,15956,15868,15677,15631
"Grayson, VA",3,Per capita personal income (dollars) 2/,26014,26134,27198,28048,28533,28842,28840,29901,30715,31518,33013
"Greene, VA",1,Personal income (thousands of dollars),589112,595009,624099,655826,686511,690918,731403,775071,799788,833971,877858
"Greene, VA",2,Population (persons) 1/,18131,18237,18458,18665,18803,18847,19104,19186,19335,19648,19779
"Greene, VA",3,Per capita personal income (dollars) 2/,32492,32626,33812,35137,36511,36659,38285,40398,41365,42446,44383
"Halifax, VA",1,Personal income (thousands of dollars),1028097,1032583,1055854,1060690,1096732,1101256,1141467,1182977,1205544,1228334,1273653
"Halifax, VA",2,Population (persons) 1/,36347,36293,36188,35979,35719,35372,35190,35082,34970,34532,34120
"Halifax, VA",3,Per capita personal income (dollars) 2/,28286,28451,29177,29481,30704,31134,32437,33720,34474,35571,37329
"Hanover, VA",1,Personal income (thousands of dollars),4504675,4339753,4434718,4686635,4885375,4957473,5299073,5714014,5923419,6156881,6462126
"Hanover, VA",2,Population (persons) 1/,99404,99651,99899,99898,100337,101069,101730,103078,104348,105850,107239
"Hanover, VA",3,Per capita personal income (dollars) 2/,45317,43550,44392,46914,48690,49050,52090,55434,56766,58166,60259
"Henrico, VA",1,Personal income (thousands of dollars),14398236,13705280,14411539,15569365,16755223,17144560,18454924,19456939,19984925,21053607,22006480
"Henrico, VA",2,Population (persons) 1/,300198,304763,307307,310460,315636,318702,321924,324289,325589,327148,329261
"Henrico, VA",3,Per capita personal income (dollars) 2/,47962,44970,46896,50149,53084,53795,57327,59999,61381,64355,66836
"Highland, VA",1,Personal income (thousands of dollars),75309,75307,75921,83870,86722,87503,95457,95961,93869,96014,101909
"Highland, VA",2,Population (persons) 1/,2403,2363,2297,2260,2234,2205,2238,2196,2209,2217,2210
"Highland, VA",3,Per capita personal income (dollars) 2/,31340,31869,33052,37111,38819,39684,42653,43698,42494,43308,46113
"Isle of Wight, VA",1,Personal income (thousands of dollars),1553068,1567333,1599186,1660428,1707048,1728130,1756527,1843820,1876638,1940014,2043800
"Isle of Wight, VA",2,Population (persons) 1/,34955,35270,35313,35288,35337,35521,35860,36155,36319,36571,36953
"Isle of Wight, VA",3,Per capita personal income (dollars) 2/,44430,44438,45286,47054,48308,48651,48983,50998,51671,53048,55308
"King and Queen, VA",1,Personal income (thousands of dollars),228693,230981,232979,243401,242337,252323,258175,273805,280344,290360,305349
"King and Queen, VA",2,Population (persons) 1/,6916,6893,6978,6988,7010,7031,7085,7086,7049,7000,7042
"King and Queen, VA",3,Per capita personal income (dollars) 2/,33067,33510,33388,34831,34570,35887,36440,38640,39771,41480,43361
"King George, VA",1,Personal income (thousands of dollars),986761,1002303,1056647,1099582,1142649,1172596,1217219,1337441,1294914,1342746,1408472
"King George, VA",2,Population (persons) 1/,22996,23335,23696,24273,24606,24900,25262,25399,25910,26302,26575
"King George, VA",3,Per capita personal income (dollars) 2/,42910,42953,44592,45301,46438,47092,48184,52657,49977,51051,53000
"King William, VA",1,Personal income (thousands of dollars),598026,575192,581483,599995,629459,640157,624955,670456,718202,753983,789561
"King William, VA",2,Population (persons) 1/,15604,15768,15999,16015,15977,16092,16150,16285,16408,16705,16939
"King William, VA",3,Per capita personal income (dollars) 2/,38325,36478,36345,37465,39398,39781,38697,41170,43771,45135,46612
"Lancaster, VA",1,Personal income (thousands of dollars),528217,493918,496378,516200,536160,527273,540236,568965,582192,613010,648619
"Lancaster, VA",2,Population (persons) 1/,11481,11403,11362,11274,11124,10959,10862,10825,10769,10779,10783
"Lancaster, VA",3,Per capita personal income (dollars) 2/,46008,43315,43688,45787,48198,48113,49736,52560,54062,56871,60152
"Lee, VA",1,Personal income (thousands of dollars),637366,649980,667526,693782,680695,664641,661378,680363,678523,693263,713366
"Lee, VA",2,Population (persons) 1/,25463,25578,25598,25532,25420,25070,24716,24550,24066,23795,23541
"Lee, VA",3,Per capita personal income (dollars) 2/,25031,25412,26077,27173,26778,26511,26759,27713,28194,29135,30303
"Loudoun, VA",1,Personal income (thousands of dollars),18418127,18651692,19977339,21656370,23134171,23456669,24739279,26464381,28256919,29726365,31762679
"Loudoun, VA",2,Population (persons) 1/,292570,303661,315479,326319,337881,349978,362290,374054,385524,396995,406850
"Loudoun, VA",3,Per capita personal income (dollars) 2/,62953,61423,63324,66366,68468,67023,68286,70750,73295,74878,78070
"Louisa, VA",1,Personal income (thousands of dollars),1146163,1125342,1158749,1176342,1200566,1202755,1265230,1355914,1391693,1475759,1562180
"Louisa, VA",2,Population (persons) 1/,32475,32840,33309,33461,33493,33988,34314,34615,35306,35885,36778
"Louisa, VA",3,Per capita personal income (dollars) 2/,35294,34267,34788,35156,35845,35388,36872,39171,39418,41125,42476
"Lunenburg, VA",1,Personal income (thousands of dollars),322675,328324,333264,349727,350606,353654,372930,379562,389629,393940,407963
"Lunenburg, VA",2,Population (persons) 1/,12936,12887,12910,12910,12639,12531,12481,12329,12263,12231,12086
"Lunenburg, VA",3,Per capita personal income (dollars) 2/,24944,25477,25814,27090,27740,28222,29880,30786,31773,32208,33755
"Madison, VA",1,Personal income (thousands of dollars),438519,430738,449836,489452,544438,561900,602464,620834,635213,616616,649082
"Madison, VA",2,Population (persons) 1/,13332,13358,13303,13142,13135,13092,13034,13046,13076,13245,13295
"Madison, VA",3,Per capita personal income (dollars) 2/,32892,32246,33815,37243,41449,42919,46222,47588,48579,46555,48822
"Mathews, VA",1,Personal income (thousands of dollars),410581,403235,393798,412852,425406,417432,435422,454988,455064,468188,493683
"Mathews, VA",2,Population (persons) 1/,9041,8997,8974,8944,8911,8899,8814,8844,8789,8731,8802
"Mathews, VA",3,Per capita personal income (dollars) 2/,45413,44819,43882,46160,47739,46908,49401,51446,51777,53624,56088
"Mecklenburg, VA",1,Personal income (thousands of dollars),919192,934948,949661,980520,1006745,998018,1018003,1060907,1068387,1098386,1141407
"Mecklenburg, VA",2,Population (persons) 1/,32920,32815,32715,32562,31695,31247,31112,30933,30827,30712,30650
"Mecklenburg, VA",3,Per capita personal income (dollars) 2/,27922,28491,29028,30112,31764,31940,32721,34297,34658,35764,37240
"Middlesex, VA",1,Personal income (thousands of dollars),423385,413069,422920,440141,458710,446299,454009,486558,496562,524168,551513
"Middlesex, VA",2,Population (persons) 1/,10806,10875,10979,10851,10848,10777,10653,10683,10751,10643,10769
"Middlesex, VA",3,Per capita personal income (dollars) 2/,39181,37983,38521,40562,42285,41412,42618,45545,46188,49250,51213
"Nelson, VA",1,Personal income (thousands of dollars),538934,541574,553690,590037,623194,630804,642353,679635,700226,714967,752436
"Nelson, VA",2,Population (persons) 1/,15050,15090,14978,15018,14801,14799,14865,14757,14800,14804,14836
"Nelson, VA",3,Per capita personal income (dollars) 2/,35810,35890,36967,39289,42105,42625,43212,46055,47313,48296,50717
"New Kent, VA",1,Personal income (thousands of dollars),895960,953532,1015451,1087447,1158775,1220765,1299380,1377355,1369384,1491268,1584005
"New Kent, VA",2,Population (persons) 1/,17728,18057,18543,18762,19147,19514,20017,20382,21025,21698,22391
"New Kent, VA",3,Per capita personal income (dollars) 2/,50539,52807,54762,57960,60520,62558,64914,67577,65131,68728,70743
"Northampton, VA",1,Personal income (thousands of dollars),444806,452415,435945,461575,485034,480076,488376,518415,532582,545499,578691
"Northampton, VA",2,Population (persons) 1/,12586,12460,12409,12409,12217,12036,12045,12095,12021,11887,11735
"Northampton, VA",3,Per capita personal income (dollars) 2/,35341,36309,35131,37197,39702,39887,40546,42862,44304,45890,49313
"Northumberland, VA",1,Personal income (thousands of dollars),453666,445437,451244,490706,519632,517368,547599,566103,583039,602826,643141
"Northumberland, VA",2,Population (persons) 1/,12496,12379,12355,12450,12421,12296,12254,12246,12193,12277,12147
"Northumberland, VA",3,Per capita personal income (dollars) 2/,36305,35983,36523,39414,41835,42076,44687,46228,47818,49102,52946
"Nottoway, VA",1,Personal income (thousands of dollars),474376,465262,461543,471618,467798,460846,480080,506557,510001,518480,538117
"Nottoway, VA",2,Population (persons) 1/,15847,15894,15829,15878,15752,15635,15505,15606,15501,15467,15420
"Nottoway, VA",3,Per capita personal income (dollars) 2/,29935,29273,29158,29703,29698,29475,30963,32459,32901,33522,34897
"Orange, VA",1,Personal income (thousands of dollars),1210592,1228562,1267304,1336731,1430354,1452023,1501512,1586043,1626573,1685366,1795932
"Orange, VA",2,Population (persons) 1/,33077,33329,33580,33992,34276,34621,34922,35183,35381,35931,36644
"Orange, VA",3,Per capita personal income (dollars) 2/,36599,36862,37740,39325,41730,41941,42996,45080,45973,46906,49010
"Page, VA",1,Personal income (thousands of dollars),711916,707228,735365,762245,770935,773685,810739,848071,863147,889658,936004
"Page, VA",2,Population (persons) 1/,24208,24076,24066,23955,23842,23724,23785,23660,23610,23755,23933
"Page, VA",3,Per capita personal income (dollars) 2/,29408,29375,30556,31820,32335,32612,34086,35844,36559,37451,39109
"Patrick, VA",1,Personal income (thousands of dollars),478963,478018,490585,507613,526197,524266,546595,567515,567576,582327,602124
"Patrick, VA",2,Population (persons) 1/,18677,18562,18469,18333,18333,18249,18176,17953,17783,17708,17673
"Patrick, VA",3,Per capita personal income (dollars) 2/,25645,25753,26563,27688,28702,28728,30072,31611,31917,32885,34070
"Powhatan, VA",1,Personal income (thousands of dollars),1119094,1084336,1108317,1156591,1232412,1248662,1320346,1413317,1491226,1569818,1652313
"Powhatan, VA",2,Population (persons) 1/,27745,27983,28120,28122,28171,28294,28488,28056,28444,28691,29189
"Powhatan, VA",3,Per capita personal income (dollars) 2/,40335,38750,39414,41128,43748,44132,46347,50375,52427,54715,56607
"Prince Edward, VA",1,Personal income (thousands of dollars),548638,552662,568937,581275,606459,606528,630076,663247,677052,703479,731872
"Prince Edward, VA",2,Population (persons) 1/,22959,23260,23354,22310,23166,22713,22976,23120,23026,22708,22950
"Prince Edward, VA",3,Per capita personal income (dollars) 2/,23896,23760,24361,26054,26179,26704,27423,28687,29404,30979,31890
"Pulaski, VA",1,Personal income (thousands of dollars),1059942,1041436,1066257,1126984,1184914,1177479,1223414,1284278,1285468,1312516,1377715
"Pulaski, VA",2,Population (persons) 1/,35051,34988,34830,34737,34733,34547,34342,34341,34225,34194,34066
"Pulaski, VA",3,Per capita personal income (dollars) 2/,30240,29766,30613,32443,34115,34083,35624,37398,37559,38384,40443
"Rappahannock, VA",1,Personal income (thousands of dollars),377436,361170,366624,391660,406703,408393,413829,427568,435119,451778,475281
"Rappahannock, VA",2,Population (persons) 1/,7420,7333,7497,7472,7406,7424,7333,7390,7352,7333,7252
"Rappahannock, VA",3,Per capita personal income (dollars) 2/,50867,49253,48903,52417,54915,55010,56434,57858,59184,61609,65538
"Richmond, VA",1,Personal income (thousands of dollars),249186,246776,247399,258763,270419,274751,284569,297721,306329,316910,332585
"Richmond, VA",2,Population (persons) 1/,9386,9251,9280,9208,9081,8952,8884,8783,8759,8925,9038
"Richmond, VA",3,Per capita personal income (dollars) 2/,26549,26676,26659,28102,29779,30692,32032,33897,34973,35508,36799
"Russell, VA",1,Personal income (thousands of dollars),810138,823455,842509,867293,863239,829423,839923,861887,851344,864963,896014
"Russell, VA",2,Population (persons) 1/,28831,29012,28857,28660,28403,28312,28054,27824,27385,27027,26748
"Russell, VA",3,Per capita personal income (dollars) 2/,28100,28383,29196,30261,30393,29296,29940,30976,31088,32004,33498
"Scott, VA",1,Personal income (thousands of dollars),621285,609689,626907,665950,666915,655637,670972,690590,694494,702168,727191
"Scott, VA",2,Population (persons) 1/,23237,23212,23129,23055,22955,22768,22518,22244,21980,21767,21534
"Scott, VA",3,Per capita personal income (dollars) 2/,26737,26266,27105,28885,29053,28796,29797,31046,31597,32258,33769
"Shenandoah, VA",1,Personal income (thousands of dollars),1383729,1356901,1404909,1477387,1556871,1577787,1681640,1768952,1793399,1858846,1974201
"Shenandoah, VA",2,Population (persons) 1/,41720,41743,42051,42263,42530,42507,42731,42841,42885,43271,43497
"Shenandoah, VA",3,Per capita personal income (dollars) 2/,33167,32506,33410,34957,36606,37118,39354,41291,41819,42958,45387
"Smyth, VA",1,Personal income (thousands of dollars),892932,893189,919492,961175,995380,1017299,1063182,1095285,1101498,1097674,1126100
"Smyth, VA",2,Population (persons) 1/,32386,32283,32198,32044,31895,31773,31571,31411,31121,30722,30472
"Smyth, VA",3,Per capita personal income (dollars) 2/,27572,27667,28557,29995,31208,32018,33676,34869,35394,35729,36955
"Stafford, VA",1,Personal income (thousands of dollars),5595020,5777687,6056398,6383001,6571966,6626553,6821126,7165563,7439124,7771050,8259225
"Stafford, VA",2,Population (persons) 1/,124323,126449,129835,132197,133375,135939,138813,140917,143578,146790,149960
"Stafford, VA",3,Per capita personal income (dollars) 2/,45004,45692,46647,48284,49274,48747,49139,50850,51812,52940,55076
"Surry, VA",1,Personal income (thousands of dollars),236449,237953,235236,241640,244766,243825,256950,274462,264833,279312,300479
"Surry, VA",2,Population (persons) 1/,7061,7037,7044,6921,6838,6787,6780,6670,6553,6522,6474
"Surry, VA",3,Per capita personal income (dollars) 2/,33487,33815,33395,34914,35795,35925,37898,41149,40414,42826,46413
"Sussex, VA",1,Personal income (thousands of dollars),321444,318994,319471,326387,327888,326731,325543,334473,330758,342332,352594
"Sussex, VA",2,Population (persons) 1/,12215,12175,12011,12084,11919,11762,11721,11686,11408,11380,11237
"Sussex, VA",3,Per capita personal income (dollars) 2/,26316,26201,26598,27010,27510,27779,27774,28622,28994,30082,31378
"Tazewell, VA",1,Personal income (thousands of dollars),1409980,1407531,1421273,1486613,1513572,1473824,1481446,1491457,1430216,1524124,1588755
"Tazewell, VA",2,Population (persons) 1/,45020,45069,45127,44735,44273,44023,43386,42904,42108,41146,40855
"Tazewell, VA",3,Per capita personal income (dollars) 2/,31319,31231,31495,33232,34187,33478,34146,34763,33965,37042,38888
"Warren, VA",1,Personal income (thousands of dollars),1351650,1331694,1384726,1471216,1531267,1534899,1578718,1642018,1724304,1767541,1869873
"Warren, VA",2,Population (persons) 1/,37259,37240,37502,37627,37866,38480,40103,38675,39105,39357,40003
"Warren, VA",3,Per capita personal income (dollars) 2/,36277,35760,36924,39100,40439,39888,39367,42457,44094,44910,46743
"Westmoreland, VA",1,Personal income (thousands of dollars),570993,574951,589505,624681,639657,642642,661500,687720,709697,732423,769654
"Westmoreland, VA",2,Population (persons) 1/,17305,17448,17490,17635,17513,17552,17440,17549,17637,17736,17830
"Westmoreland, VA",3,Per capita personal income (dollars) 2/,32996,32952,33705,35423,36525,36614,37930,39189,40239,41296,43166
"Wythe, VA",1,Personal income (thousands of dollars),855971,836116,846030,867658,892270,874055,918226,959625,957022,981565,1023867
"Wythe, VA",2,Population (persons) 1/,29123,29216,29241,29187,29317,29271,29044,29098,28934,28872,28754
"Wythe, VA",3,Per capita personal income (dollars) 2/,29392,28618,28933,29728,30435,29861,31615,32979,33076,33997,35608
"Alexandria (Independent City), VA",1,Personal income (thousands of dollars),9954991,9963806,10784496,11424532,12143013,11711094,12316722,12749013,13027528,13420320,14127927
"Alexandria (Independent City), VA",2,Population (persons) 1/,132949,137523,140740,144220,147314,149674,151431,153863,157045,159654,160530
"Alexandria (Independent City), VA",3,Per capita personal income (dollars) 2/,74878,72452,76627,79216,82429,78244,81336,82860,82954,84059,88008
"Chesapeake (Independent City), VA",1,Personal income (thousands of dollars),8907447,9076504,9412504,9782589,10096319,10140547,10560075,11091931,11269473,11662508,12259962
"Chesapeake (Independent City), VA",2,Population (persons) 1/,218458,220176,223550,225332,228075,230330,233380,235168,237591,240327,242634
"Chesapeake (Independent City), VA",3,Per capita personal income (dollars) 2/,40774,41224,42105,43414,44268,44026,45248,47166,47432,48528,50529
"Hampton (Independent City), VA",1,Personal income (thousands of dollars),4812249,4842917,4939873,5085972,5178607,5213793,5390736,5547694,5516405,5643164,5848977
"Hampton (Independent City), VA",2,Population (persons) 1/,138957,137833,137336,136528,137083,137243,137597,136187,135238,134581,134313
"Hampton (Independent City), VA",3,Per capita personal income (dollars) 2/,34631,35136,35969,37252,37777,37990,39178,40736,40790,41931,43547
"Newport News (Independent City), VA",1,Personal income (thousands of dollars),6247689,6214612,6377452,6728210,6915943,6957450,7089159,7376432,7297927,7478043,7770354
"Newport News (Independent City), VA",2,Population (persons) 1/,181287,181000,180925,180098,180094,181320,181576,180948,180179,179398,178626
"Newport News (Independent City), VA",3,Per capita personal income (dollars) 2/,34463,34335,35249,37359,38402,38371,39042,40765,40504,41684,43501
"Norfolk (Independent City), VA",1,Personal income (thousands of dollars),8745074,8267576,8433362,8666893,9011718,8940341,9264087,9533333,9545101,9823017,10207860
"Norfolk (Independent City), VA",2,Population (persons) 1/,241201,241725,242998,243632,246141,245449,246587,246534,245843,244922,244076
"Norfolk (Independent City), VA",3,Per capita personal income (dollars) 2/,36256,34202,34705,35574,36612,36424,37569,38669,38826,40107,41822
"Portsmouth (Independent City), VA",1,Personal income (thousands of dollars),3189893,3201543,3313180,3461952,3499098,3494966,3568344,3702717,3626959,3748432,3895933
"Portsmouth (Independent City), VA",2,Population (persons) 1/,95802,95384,95445,95726,96467,96071,95826,96308,95094,94693,94632
"Portsmouth (Independent City), VA",3,Per capita personal income (dollars) 2/,33297,33565,34713,36165,36272,36379,37238,38447,38141,39585,41169
"Richmond (Independent City), VA",1,Personal income (thousands of dollars),9350230,8479629,8783791,9532892,10492448,10076028,10638447,11374139,11646094,12287753,12881773
"Richmond (Independent City), VA",2,Population (persons) 1/,202254,203678,204256,206325,210741,213815,217003,220847,225332,226968,228783
"Richmond (Independent City), VA",3,Per capita personal income (dollars) 2/,46230,41633,43004,46203,49788,47125,49024,51502,51684,54139,56306
"Roanoke (Independent City), VA",1,Personal income (thousands of dollars),3417921,3385035,3499883,3648895,3901307,3822694,3942837,4177321,4097717,4158845,4341578
"Roanoke (Independent City), VA",2,Population (persons) 1/,95813,97023,96722,96776,98092,98860,99443,99733,99572,99436,99920
"Roanoke (Independent City), VA",3,Per capita personal income (dollars) 2/,35673,34889,36185,37705,39772,38668,39649,41885,41153,41824,43451
"Suffolk (Independent City), VA",1,Personal income (thousands of dollars),3433711,3465578,3587863,3721748,3895254,3849918,4003205,4248996,4339166,4486948,4723202
"Suffolk (Independent City), VA",2,Population (persons) 1/,82603,83648,84823,84751,85258,85765,86892,88127,89322,90275,91185
"Suffolk (Independent City), VA",3,Per capita personal income (dollars) 2/,41569,41430,42298,43914,45688,44889,46071,48214,48579,49703,51798
"Virginia Beach (Independent City), VA",1,Personal income (thousands of dollars),19409809,19034557,19610064,20612666,21677217,21616547,22768537,23933638,24188253,25076837,26249674
"Virginia Beach (Independent City), VA",2,Population (persons) 1/,433331,435004,438855,442536,445038,447732,448913,450474,451136,449962,450189
"Virginia Beach (Independent City), VA",3,Per capita personal income (dollars) 2/,44792,43757,44685,46579,48709,48280,50719,53130,53616,55731,58308
"Albemarle + Charlottesville, VA*",1,Personal income (thousands of dollars),7167152,6859572,7240429,7657164,8457472,8328130,8935308,9550724,10091356,11027861,11702008
"Albemarle + Charlottesville, VA*",2,Population (persons) 1/,139211,141125,142659,143960,146043,147286,149265,151552,153644,155690,156835
"Albemarle + Charlottesville, VA*",3,Per capita personal income (dollars) 2/,51484,48606,50753,53190,57911,56544,59862,63019,65680,70832,74613
"Alleghany + Covington, VA*",1,Personal income (thousands of dollars),707451,689865,704399,724411,767944,720625,738863,771583,774653,785845,816049
"Alleghany + Covington, VA*",2,Population (persons) 1/,22395,22254,22144,22075,21876,21751,21377,21081,20918,20593,20370
"Alleghany + Covington, VA*",3,Per capita personal income (dollars) 2/,31590,31000,31810,32816,35104,33131,34563,36601,37033,38161,40061
"Augusta, Staunton + Waynesboro, VA*",1,Personal income (thousands of dollars),4173465,4163354,4257939,4362447,4445967,4493340,4721074,4907996,4982187,5199161,5451146
"Augusta, Staunton + Waynesboro, VA*",2,Population (persons) 1/,118420,118593,118311,118760,118455,119116,119479,120070,120857,121984,123007
"Augusta, Staunton + Waynesboro, VA*",3,Per capita personal income (dollars) 2/,35243,35106,35989,36733,37533,37722,39514,40876,41224,42622,44316
"Campbell + Lynchburg, VA*",1,Personal income (thousands of dollars),4067656,4002595,4184085,4381731,4548867,4514576,4720081,4830978,4797970,4944560,5171184
"Campbell + Lynchburg, VA*",2,Population (persons) 1/,128250,129609,130449,131362,132099,133023,133422,134560,135271,136151,137099
"Campbell + Lynchburg, VA*",3,Per capita personal income (dollars) 2/,31717,30882,32074,33356,34435,33938,35377,35902,35469,36317,37719
"Carroll + Galax, VA*",1,Personal income (thousands of dollars),1020018,1032129,1055758,1088149,1102239,1105839,1163893,1217720,1218373,1264873,1298947
"Carroll + Galax, VA*",2,Population (persons) 1/,36955,36968,37065,36938,36773,36846,36611,36648,36324,36234,36059
"Carroll + Galax, VA*",3,Per capita personal income (dollars) 2/,27602,27920,28484,29459,29974,30012,31791,33227,33542,34908,36023
"Dinwiddie, Colonial Heights + Petersburg, VA*",1,Personal income (thousands of dollars),2625840,2619549,2665070,2795772,2844274,2853603,2865815,2960794,2967358,3048653,3144588
"Dinwiddie, Colonial Heights + Petersburg, VA*",2,Population (persons) 1/,77402,77581,77888,77476,77594,77877,77774,77593,77574,77770,77929
