County Name/State Abbreviation,Year,Force,Employed,Unemployed,(%)
"Cooke County, TX",2019,"19,820     ","19,268     ",552     ,2.8     
"Coryell County, TX",2019,"24,123     ","23,177     ",946     ,3.9     
"Cottle County, TX",2019,551     ,528     ,23     ,4.2     
"Crane County, TX",2019,"1,569     ","1,506     ",63     ,4.0     
"Crockett County, TX",2019,"1,637     ","1,589     ",48     ,2.9     
"Crosby County, TX",2019,"2,499     ","2,402     ",97     ,3.9     
"Culberson County, TX",2019,"1,044     ","1,002     ",42     ,4.0     
"Dallam County, TX",2019,"3,918     ","3,842     ",76     ,1.9     
"Dallas County, TX",2019,"1,364,652     ","1,317,507     ","47,145     ",3.5     
"Dawson County, TX",2019,"4,642     ","4,462     ",180     ,3.9     
"Deaf Smith County, TX",2019,"8,470     ","8,237     ",233     ,2.8     
"Delta County, TX",2019,"2,443     ","2,360     ",83     ,3.4     
"Denton County, TX",2019,"494,624     ","480,005     ","14,619     ",3.0     
"DeWitt County, TX",2019,"9,798     ","9,540     ",258     ,2.6     
"Dickens County, TX",2019,682     ,652     ,30     ,4.4     
"Dimmit County, TX",2019,"7,487     ","7,298     ",189     ,2.5     
"Donley County, TX",2019,"1,439     ","1,389     ",50     ,3.5     
"Duval County, TX",2019,"4,966     ","4,744     ",222     ,4.5     
"Eastland County, TX",2019,"8,354     ","8,079     ",275     ,3.3     
"Ector County, TX",2019,"88,186     ","85,859     ","2,327     ",2.6     
"Edwards County, TX",2019,"1,054     ","1,030     ",24     ,2.3     
"Ellis County, TX",2019,"92,694     ","89,823     ","2,871     ",3.1     
"El Paso County, TX",2019,"362,582     ","348,712     ","13,870     ",3.8     
"Erath County, TX",2019,"20,850     ","20,188     ",662     ,3.2     
"Falls County, TX",2019,"6,570     ","6,356     ",214     ,3.3     
"Fannin County, TX",2019,"17,329     ","16,854     ",475     ,2.7     
"Fayette County, TX",2019,"12,313     ","11,987     ",326     ,2.6     
"Fisher County, TX",2019,"1,634     ","1,586     ",48     ,2.9     
"Floyd County, TX",2019,"2,580     ","2,468     ",112     ,4.3     
"Foard County, TX",2019,585     ,567     ,18     ,3.1     
"Fort Bend County, TX",2019,"392,275     ","378,653     ","13,622     ",3.5     
"Franklin County, TX",2019,"4,654     ","4,485     ",169     ,3.6     
"Freestone County, TX",2019,"6,400     ","6,093     ",307     ,4.8     
"Frio County, TX",2019,"10,463     ","10,192     ",271     ,2.6     
"Gaines County, TX",2019,"9,812     ","9,577     ",235     ,2.4     
"Galveston County, TX",2019,"165,479     ","158,807     ","6,672     ",4.0     
"Garza County, TX",2019,"2,176     ","2,117     ",59     ,2.7     
"Gillespie County, TX",2019,"13,542     ","13,213     ",329     ,2.4     
"Glasscock County, TX",2019,795     ,778     ,17     ,2.1     
"Goliad County, TX",2019,"3,272     ","3,162     ",110     ,3.4     
"Gonzales County, TX",2019,"9,578     ","9,320     ",258     ,2.7     
"Gray County, TX",2019,"8,080     ","7,791     ",289     ,3.6     
"Grayson County, TX",2019,"64,106     ","62,148     ","1,958     ",3.1     
"Gregg County, TX",2019,"58,349     ","56,176     ","2,173     ",3.7     
"Grimes County, TX",2019,"11,264     ","10,822     ",442     ,3.9     
"Guadalupe County, TX",2019,"81,486     ","79,087     ","2,399     ",2.9     
